Gene,log2FC,pVal,pAdj,NES
COX20,-0.137589681,0.409669727,0.715220031,237.1372
COX20,-0.137589681,0.409669727,0.715220031,237.1372
COX20,-0.137589681,0.409669727,0.715220031,237.1372
COX20,-0.137589681,0.409669727,0.715220031,237.1372
COX20,-0.137589681,0.409669727,0.715220031,237.1372
COX20,-0.137589681,0.409669727,0.715220031,237.1372
NDUFS2,0.048045835,0.816139551,0.932926696,229.0846
NDUFS2,0.048045835,0.816139551,0.932926696,229.0846
NDUFS2,0.048045835,0.816139551,0.932926696,229.0846
COX7C,0.212445702,0.264209769,0.58699296,841.9262
COX7C,0.212445702,0.264209769,0.58699296,841.9262
COX7C,0.212445702,0.264209769,0.58699296,841.9262
SDHB,0.220416021,0.491359356,0.772662946,1323.164
SDHB,0.220416021,0.491359356,0.772662946,1323.164
SDHB,0.220416021,0.491359356,0.772662946,1323.164
SDHB,0.220416021,0.491359356,0.772662946,1323.164
SDHB,0.220416021,0.491359356,0.772662946,1323.164
NDUFA9,-0.053141611,0.821972749,0.93503343,141.9105
NDUFA9,-0.053141611,0.821972749,0.93503343,141.9105
NDUFA9,-0.053141611,0.821972749,0.93503343,141.9105
NDUFA9,-0.053141611,0.821972749,0.93503343,141.9105
UQCR10,0.236578555,0.400043619,0.70858181,2570.548
NDUFB11,0.07103414,0.732890825,0.898484955,956.1924
NDUFB11,0.07103414,0.732890825,0.898484955,956.1924
NDUFB11,0.07103414,0.732890825,0.898484955,956.1924
NDUFA11,0.106485348,0.586685066,0.82631227,528.9357
NDUFA11,0.106485348,0.586685066,0.82631227,528.9357
NDUFA11,0.106485348,0.586685066,0.82631227,528.9357
COX15,0.000697915,0.998870006,0.999622341,11.17521
COX15,0.000697915,0.998870006,0.999622341,11.17521
COX15,0.000697915,0.998870006,0.999622341,11.17521
COX15,0.000697915,0.998870006,0.999622341,11.17521
SDHC,-0.057944744,0.832792332,0.938455834,135.7335
SDHC,-0.057944744,0.832792332,0.938455834,135.7335
ECSIT,0.039468431,0.901867198,0.964182791,56.51766
BCS1L,-0.109698571,0.782652522,0.91927911,26.80712
BCS1L,-0.109698571,0.782652522,0.91927911,26.80712
